chembl_id	accession	organism	pref_name	chembl_id_target	smiles	pIC50
CHEMBL30084	Q05769	Mus_musculus	Cyclooxygenase-2	CHEMBL4321	CNC1=C(Cl)C=C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)C=C1	7.56992494444806
CHEMBL30091	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	C1CCC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC1	7.0778508989546
CHEMBL30091	Q05769	Mus_musculus	Cyclooxygenase-2	CHEMBL4321	C1CCC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC1	7.07998108397109
CHEMBL300982	O62664	Bos_taurus	Cyclooxygenase-1	CHEMBL2860	CC1(CN2C(=C(C(=C2CC(O)=O)C2C=CC(Cl)=CC=2)C2C=CC=CC=2)C1)C	6.76143937264017
CHEMBL300982	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CC1(CN2C(=C(C(=C2CC(O)=O)C2C=CC(Cl)=CC=2)C2C=CC=CC=2)C1)C	6.79588001734407
CHEMBL300982	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1(CN2C(=C(C(=C2CC(O)=O)C2C=CC(Cl)=CC=2)C2C=CC=CC=2)C1)C	6.43179827593301
CHEMBL301582	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	COC1C=CC(C2C(=O)N(C3C=C(F)C=CC=3)CC=2C2C=CC(S(=O)(=O)C)=CC=2)=CC=1	5.60205999132796
CHEMBL301582	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	COC1C=CC(C2C(=O)N(C3C=C(F)C=CC=3)CC=2C2C=CC(S(=O)(=O)C)=CC=2)=CC=1	6.55284196865778
CHEMBL302266	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CCN1N=C(C(=C1C(F)(F)F)C1C=CC(F)=CC=1)C1C=CC(S(=O)(=O)N)=CC=1	5.86646109162978
CHEMBL302266	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CCN1N=C(C(=C1C(F)(F)F)C1C=CC(F)=CC=1)C1C=CC(S(=O)(=O)N)=CC=1	7.48148606012211
CHEMBL30236	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CCC1C(OC)=CC=C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)C=1	4.42021640338319
CHEMBL30236	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CCC1C(OC)=CC=C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)C=1	6.36768753297997
CHEMBL302771	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CS(=O)(=O)C1C=CC(C2N(C(OC=2)=O)C2C=CC(F)=CC=2)=CC=1	5.29221491194057
CHEMBL302771	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2N(C(OC=2)=O)C2C=CC(F)=CC=2)=CC=1	6.29221703873957
CHEMBL302950	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	C1=C(C=O)C=CC(C2=C(SC=C2)C2C=CC(F)=CC=2)=C1	6.0087739243075
CHEMBL303023	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CC1=CC(N2C(OC(=C2C2C=CC(S(=O)(=O)N)=CC=2)C)=O)=CC=C1	4.77205663891233
CHEMBL303023	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1=CC(N2C(OC(=C2C2C=CC(S(=O)(=O)N)=CC=2)C)=O)=CC=C1	6.03175768112924
CHEMBL303036	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	COC(=O)C1C=CC(C2=C(SC=C2)C2C=CC(F)=CC=2)=CC=1	4.76955107862173
CHEMBL303674	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC(O)(C1SC(=C(C2C=CC(F)=CC=2)C=1)C1C=CC(S(=O)(=O)N)=CC=1)C	5.79588001734407
CHEMBL303688	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	C1=C(C2SC=CC=2C2C=CC(S(=O)(=O)N)=CC=2)C=CC(F)=C1	5.88605664769316
CHEMBL303688	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	C1=C(C2SC=CC=2C2C=CC(S(=O)(=O)N)=CC=2)C=CC(F)=C1	7.52287874528034
CHEMBL303728	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	COC1=C(F)C=C(N2C(OC=C2C2C=CC(S(=O)(=O)N)=CC=2)=O)C=C1	5.29221491194057
CHEMBL303728	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	COC1=C(F)C=C(N2C(OC=C2C2C=CC(S(=O)(=O)N)=CC=2)=O)C=C1	5.94695999305813
CHEMBL303870	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	COC(=O)C1SC(=C(C2C=CC(S(=O)(=O)N)=CC=2)C=1)C1C=CC(F)=CC=1	6
CHEMBL303870	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	COC(=O)C1SC(=C(C2C=CC(S(=O)(=O)N)=CC=2)C=1)C1C=CC(F)=CC=1	7.15490195998574
